time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-01-13T18:08:48.490Z,36.5805,-97.67116667,7,1.56,ml,68,44,0.1223759857,0.21,ok,ok2022axhy,2022-01-13T19:50:59.602Z,"2 km NNW of Hunter, Oklahoma",earthquake,,0.5,0.23,6,reviewed,ok,ok
2022-01-13T18:05:19.780Z,39.4168333,-110.2953333,-3.32,1.44,ml,8,201,0.02417,0.13,uu,uu60477537,2022-01-13T18:13:35.090Z,"Utah",earthquake,0.91,2.62,0.074,2,reviewed,uu,uu
2022-01-13T17:58:02.910Z,19.1653327941895,-155.466659545898,30.4799995422363,1.80999994,md,27,163,,0.159999996,hv,hv72871027,2022-01-13T18:01:05.830Z,"4 km SSE of Pāhala, Hawaii",earthquake,0.69,1.25,0.560000002,5,automatic,hv,hv
2022-01-13T17:56:55.420Z,39.4173333,-110.2956667,-3.46,1.67,md,6,201,0.02378,0.1,uu,uu60477532,2022-01-13T18:03:47.740Z,"16 km SSE of Sunnyside, Utah",earthquake,1.28,3.34,0.184,6,reviewed,uu,uu
2022-01-13T17:50:12.220Z,19.3908333333333,-155.273166666667,8.2,1.34,md,21,96,,0.14,hv,hv72871022,2022-01-13T18:24:24.630Z,"7 km SW of Volcano, Hawaii",earthquake,0.46,0.54,0.154236911578283,9,reviewed,hv,hv
2022-01-13T17:44:53.960Z,19.4075,-155.269333333333,3.23,1.56,md,13,57,,0.11,hv,hv72871017,2022-01-13T19:19:55.170Z,"5 km SW of Volcano, Hawaii",earthquake,0.31,0.54,0.12118037972803,4,reviewed,hv,hv
2022-01-13T17:42:40.030Z,19.4128333333333,-155.283166666667,10.18,1.36,md,19,113,,0.11,hv,hv72871012,2022-01-13T19:28:09.570Z,"6 km WSW of Volcano, Hawaii",earthquake,0.54,0.68,0.0188709496949767,6,reviewed,hv,hv
2022-01-13T17:41:54.258Z,58.6663,-151.0666,54.9,2.7,ml,,,,0.57,ak,ak022lscrkv,2022-01-13T21:39:18.040Z,"88 km SSE of Port Graham, Alaska",earthquake,,1.7,,,automatic,ak,ak
2022-01-13T17:36:52.830Z,19.4041666666667,-155.274333333333,12.66,1.51,md,19,90,,0.16,hv,hv72871002,2022-01-13T19:39:05.770Z,"6 km SW of Volcano, Hawaii",earthquake,0.44,0.48,0.0413267539073957,4,reviewed,hv,hv
2022-01-13T17:36:52.075Z,36.4707,70.2172,217.64,4.2,mb,,77,0.714,0.77,us,us7000gbpk,2022-01-13T21:33:02.040Z,"34 km ESE of Farkhār, Afghanistan",earthquake,8.2,4,0.121,19,reviewed,us,us
2022-01-13T17:35:24.799Z,38.3197,-119.37,12,1.4,ml,15,146.26,0.062,0.1744,nn,nn00831678,2022-01-13T19:28:32.586Z,"14 km WNW of Bridgeport, California",earthquake,,1.8,0.14,3,reviewed,nn,nn
2022-01-13T17:30:42.260Z,39.4205,-110.3048333,-1.94,1.63,ml,11,169,0.0161,0.13,uu,uu60477517,2022-01-13T17:43:45.050Z,"16 km SSE of Sunnyside, Utah",earthquake,0.78,0.87,0.109,3,reviewed,uu,uu
2022-01-13T17:30:40.370Z,19.3968333333333,-155.273333333333,11.47,1.21,md,22,42,,0.14,hv,hv72870997,2022-01-13T18:53:14.380Z,"6 km SW of Volcano, Hawaii",earthquake,0.53,0.73,0.210084174813413,9,reviewed,hv,hv
2022-01-13T17:25:35.960Z,44.564,-110.738,6.33,0.33,md,8,91,0.07937,0.12,uu,uu60029839,2022-01-13T17:40:37.460Z,"31 km ESE of West Yellowstone, Montana",earthquake,0.52,2.08,0.469,7,reviewed,uu,uu
2022-01-13T17:24:19.800Z,44.8408333,-110.7556667,9.8,0.46,md,8,275,0.08551,0.09,uu,uu60477512,2022-01-13T17:35:26.870Z,"15 km SSW of Mammoth, Wyoming",earthquake,3.6,1.19,0.249,5,reviewed,uu,uu
